keywords,title,publication_date,citations
"anomaly detection, network traffic, unsupervised learning, autoencoders, clustering, network security, intrusion detection","Advanced Anomaly Detection in Network Traffic Using Deep Autoencoders and Unsupervised Clustering Techniques",2021-03-15,127
"adversarial robustness, deep neural networks, image classification, defense mechanisms, adversarial attacks, data augmentation, CIFAR-10","Robust Deep Neural Networks: Novel Defense Mechanisms Against Adversarial Attacks in Image Classification",2022-07-22,89
"deep learning, natural language processing, transformer, attention mechanism, neural networks, sentiment analysis, text classification","Transformer-Based Deep Learning Models for Natural Language Processing: Attention Mechanisms and Sentiment Analysis",2020-11-08,234
"explainable AI, interpretability, deep learning, attention visualization, feature importance, model explanations, trust","Explainable AI: Interpretability and Trust in Deep Learning Models Through Attention Visualization",2021-09-14,156
"distributed machine learning, parameter server, synchronization, communication overhead, scalability, straggler nodes","Scalable Distributed Machine Learning: Efficient Parameter Server Architecture with Reduced Communication Overhead",2020-05-30,98
"reinforcement learning, autonomous vehicles, deep Q-networks, navigation, traffic control, safety, simulation","Reinforcement Learning for Autonomous Vehicle Navigation: Deep Q-Networks in Traffic Control and Safety Systems",2022-01-18,201
"transfer learning, medical image analysis, domain adaptation, imaging modalities, diagnostic accuracy, medical imaging","Transfer Learning in Medical Image Analysis: Domain Adaptation Across Multiple Imaging Modalities",2021-06-09,178
"multi-modal learning, vision, language understanding, visual encoders, language models, visual question answering, image captioning","Multi-Modal Learning: Integrating Vision and Language Understanding for Visual Question Answering",2020-12-03,145
"federated learning, privacy, distributed systems, machine learning, aggregation, non-IID data, communication","Privacy-Preserving Federated Learning: Efficient Aggregation Strategies for Non-IID Data in Distributed Systems",2022-04-27,167
"quantum machine learning, variational quantum circuits, quantum computing, classification, regression, quantum simulators","Quantum Machine Learning: Variational Quantum Circuits for Classification and Regression Tasks",2021-08-11,112
"recommendation systems, graph neural networks, collaborative filtering, embeddings, social networks, precision, recall","Graph Neural Networks for Recommendation Systems: Enhanced Collaborative Filtering with Social Network Embeddings",2020-09-25,189
"computer vision, object detection, convolutional neural networks, multi-scale features, attention, real-time, COCO dataset","Real-Time Object Detection Using Multi-Scale Convolutional Neural Networks with Attention Mechanisms",2022-02-14,223
"time series forecasting, LSTM, long short-term memory, financial markets, energy consumption, prediction accuracy","LSTM-Based Time Series Forecasting: Applications in Financial Markets and Energy Consumption Prediction",2021-05-07,134
"natural language processing, knowledge graphs, neural relation extraction, transformer models, entity linking, relation prediction","Knowledge Graph Construction Using Neural Relation Extraction and Transformer Models for Entity Linking",2020-07-19,198
"generative adversarial networks, data augmentation, low-resource settings, synthetic data, text classification, image recognition","Generative Adversarial Networks for Data Augmentation in Low-Resource Settings: Applications in Text and Image Recognition",2021-12-06,176

